"transaction_id","customer_id","card_id","transaction_datetime","transaction_amount","merchant_category","merchant_name","merchant_city","merchant_state","merchant_country","transaction_type","card_type","customer_age","customer_gender","customer_income_bracket","customer_segment","transaction_currency","is_international","card_issuer_bank","transaction_status","customer_postal_code","customer_country"
"TXN000001","CUST0001","CARD0001","2024-06-01T09:42:18","120.5","groceries","FreshMarket","New York","NY","USA","purchase","Visa","22","female","low","student","USD","false","Chase","completed","10013","USA"
"TXN000002","CUST0002","CARD0002","2024-06-01T16:37:04","350","dining","UrbanBistro","London","LDN","GBR","purchase","MasterCard","27","male","medium","standard","GBP","true","Barclays","completed","W1D4FA","USA"
"TXN000003","CUST0003","CARD0003","2024-06-02T10:10:29","45.75","retail","QuickMart","Chicago","IL","USA","purchase","Visa","33","female","medium","standard","USD","false","Bank of America","completed","60611","USA"
"TXN000004","CUST0004","CARD0004","2024-06-02T18:25:47","-65.3","retail","QuickMart","Chicago","IL","USA","refund","Visa","33","female","medium","standard","USD","false","Bank of America","completed","60611","USA"
"TXN000005","CUST0005","CARD0005","2024-06-03T11:55:03","2500","travel","FlyHighAir","Dubai","DU","ARE","purchase","Amex","51","male","high","premium","AED","true","EmiratesNBD","completed","10123","USA"
"TXN000006","CUST0006","CARD0006","2024-06-03T12:44:21","510.2","groceries","GreenGrocer","Berlin","BE","DEU","purchase","MasterCard","40","female","medium","standard","EUR","true","DeutscheBank","completed","10178","USA"
"TXN000007","CUST0007","CARD0007","2024-06-04T09:16:22","86","dining","CafeParis","Paris","IDF","FRA","purchase","Visa","26","other","medium","student","EUR","true","BNPParibas","completed","75006","USA"
"TXN000008","CUST0008","CARD0008","2024-06-04T13:27:12","44.99","retail","UrbanThreads","Toronto","ON","CAN","purchase","Visa","21","female","low","student","CAD","false","RoyalBank","completed","M5V3C6","CAN"
"TXN000009","CUST0009","CARD0009","2024-06-04T19:55:45","320","entertainment","CinemaWorld","London","LDN","GBR","purchase","MasterCard","24","male","medium","student","GBP","true","HSBC","completed","N1C4AH","USA"
"TXN000010","CUST0010","CARD0010","2024-06-05T08:05:13","89.99","groceries","DailyFresh","Melbourne","VIC","AUS","purchase","Visa","25","female","medium","student","AUD","true","Westpac","completed","3006","USA"
"TXN000011","CUST0011","CARD0011","2024-06-05T12:15:54","70.25","retail","StyleDepot","Mumbai","MH","IND","purchase","MasterCard","30","male","medium","standard","INR","false","HDFC","completed","400021","IND"
"TXN000012","CUST0002","CARD0002","2024-06-05T18:22:38","6500","jewelry","GenevaJewels","Geneva","GE","CHE","purchase","Amex","59","female","high","premium","CHF","true","UBS","completed","1201","USA"
"TXN000013","CUST0012","CARD0012","2024-06-06T07:41:30","35","groceries","FreshMarket","New York","NY","USA","purchase","Visa","18","female","low","student","USD","false","Chase","completed","10012","USA"
"TXN000014","CUST0013","CARD0013","2024-06-06T13:19:43","12000","automotive","AutoWorld","Tokyo","13","JPN","purchase","Visa","74","male","high","premium","JPY","true","MUFG","completed","160-0022","USA"
